127.0.0.1, 2015-07-30 16:52:04, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 2.987831
127.0.0.1, 2015-07-30 16:53:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.015807
127.0.0.1, 2015-07-30 16:53:04, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 2.968430
127.0.0.1, 2015-07-30 16:54:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.056466
127.0.0.1, 2015-07-30 16:54:04, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 2.953331
127.0.0.1, 2015-07-30 16:55:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.753018
127.0.0.1, 2015-07-30 16:55:06, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 5.153122
127.0.0.1, 2015-07-30 16:55:43, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 1.444505
127.0.0.1, 2015-07-30 16:55:55, GET, /admin/default/index, HTTP/1.1, 303, 0.452544
127.0.0.1, 2015-07-30 16:56:07, GET, /admin/default/site, HTTP/1.1, 200, 5.129745
127.0.0.1, 2015-07-30 16:56:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 5.408139
127.0.0.1, 2015-07-30 16:56:11, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 7.752617
127.0.0.1, 2015-07-30 16:56:33, POST, /admin/default/check_version, HTTP/1.1, 200, 7.500564
169.254.150.167, 2015-07-31 15:29:45, GET, /, HTTP/1.1, 303, 0.012339
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/default/index, HTTP/1.1, 200, 2.327639
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.014912
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.013131
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.005875
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016002
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.012411
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005849
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.018221
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.014907
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.005878
169.254.150.167, 2015-07-31 15:29:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.020782
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.016515
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.022196
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.006308
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.014166
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005798
169.254.150.167, 2015-07-31 15:29:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.016247
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/default/index, HTTP/1.1, 200, 1.929335
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.006181
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.016519
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005928
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.016171
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.016222
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.016359
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006038
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.006007
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.016511
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006044
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006033
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.016163
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005942
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.006030
169.254.150.167, 2015-07-31 15:30:00, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.011661
169.254.150.167, 2015-07-31 15:30:01, GET, /favicon.ico, HTTP/1.1, 400, 0.007562
169.254.150.167, 2015-07-31 15:30:06, POST, /admin/default/index, HTTP/1.1, 303, 0.590755
169.254.150.167, 2015-07-31 15:30:07, GET, /admin/default/site, HTTP/1.1, 200, 1.040583
169.254.150.167, 2015-07-31 15:30:07, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 200, 0.006122
169.254.150.167, 2015-07-31 15:30:07, GET, /admin/static/_2.11.2/images/folder.png, HTTP/1.1, 200, 0.016316
169.254.150.167, 2015-07-31 15:30:07, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.005974
169.254.150.167, 2015-07-31 15:30:09, GET, /favicon.ico, HTTP/1.1, 400, 0.004258
169.254.150.167, 2015-07-31 15:30:14, POST, /admin/default/check_version, HTTP/1.1, 200, 6.742648
169.254.150.167, 2015-07-31 15:30:18, GET, /admin/default/design/myapp, HTTP/1.1, 200, 4.036655
169.254.150.167, 2015-07-31 15:30:19, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 200, 0.021414
169.254.150.167, 2015-07-31 15:30:19, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.026295
169.254.150.167, 2015-07-31 15:30:19, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 200, 0.006076
169.254.150.167, 2015-07-31 15:30:19, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 200, 0.016554
169.254.150.167, 2015-07-31 15:30:19, GET, /favicon.ico, HTTP/1.1, 400, 0.004170
169.254.150.167, 2015-07-31 15:31:59, GET, /admin/default/edit/myapp/modules/temp_humi_co2.py, HTTP/1.1, 200, 0.836482
